id,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,state
7051126017,new york city,6500,apartment,1000,2,2,0,0,1,0,0,0,w/d in unit,street parking,40.6897,-73.9751,ny
7051124824,new york city,2626,apartment,1450,3,2,0,0,1,0,0,0,no laundry on site,off-street parking,40.75,-73.7859,ny
7051116591,new york city,5595,apartment,1800,2,2,1,0,0,0,0,0,,,40.8038,-73.9499,ny
7051105174,new york city,1525,apartment,525,0,1,1,0,1,0,0,0,no laundry on site,,40.5775,-73.9552,ny
7051104207,new york city,2199,apartment,1000,2,1,1,1,1,1,0,0,laundry in bldg,street parking,40.696,-73.8624,ny
7051102295,new york city,2850,apartment,600,1,1,0,0,1,1,0,0,laundry on site,street parking,40.7366,-73.9814,ny
7051100132,new york city,5850,apartment,1100,3,2,1,1,1,1,0,0,laundry in bldg,attached garage,40.7439,-73.98,ny
7051098158,new york city,3400,apartment,760,1,1,1,1,1,1,0,0,laundry in bldg,detached garage,40.732,-73.9825,ny
7051097652,new york city,3250,apartment,650,0,1,1,1,1,1,0,0,w/d in unit,attached garage,40.7461,-73.9782,ny
7051094562,new york city,2325,apartment,560,1,1,1,1,1,0,1,0,laundry in bldg,attached garage,40.8188,-73.956,ny
7051092747,new york city,1845,apartment,550,1,1,1,1,1,0,0,0,,,40.8785,-73.9162,ny
7051092686,new york city,2400,apartment,750,2,1.5,1,1,1,0,0,0,,street parking,40.7095,-73.9563,ny
7051092386,new york city,5500,apartment,1800,2,2.5,0,0,0,0,0,1,w/d in unit,street parking,40.6707,-73.9525,ny
7050320655,new york city,1750,apartment,400,0,1,1,0,1,0,0,0,,,40.7674,-73.955,ny
7051092102,new york city,2095,apartment,380,0,1,0,1,1,0,0,0,laundry in bldg,attached garage,40.8188,-73.956,ny
7051088582,new york city,2800,apartment,1000,3,1,0,0,1,0,0,0,,,40.7698,-73.9252,ny
7051077425,new york city,1720,apartment,900,1,1,0,0,1,0,0,0,laundry in bldg,,40.6251,-74.0303,ny
7051071476,new york city,2995,apartment,675,1,1,1,1,1,0,0,0,w/d in unit,,40.7709,-73.9205,ny
7051070564,new york city,3895,apartment,850,2,1,1,1,1,1,0,0,laundry in bldg,street parking,40.7359,-73.986,ny
7051068001,new york city,2699,apartment,1000,2,1,1,1,1,1,0,0,laundry in bldg,attached garage,40.6778,-73.8733,ny
7051059702,new york city,1650,apartment,780,1,1,1,1,1,0,0,0,,attached garage,41.0531,-73.539,ny
7051059256,new york city,3300,apartment,1300,3,2,1,1,1,0,0,0,,,41.0531,-73.539,ny
7051058871,new york city,2400,apartment,1500,3,1,0,0,1,0,0,0,no laundry on site,no parking,40.5839,-73.9536,ny
7051058326,new york city,1899,apartment,943,2,1,1,1,1,0,0,0,,,41.0531,-73.539,ny
7051054393,new york city,2450,apartment,850,2,1,1,1,1,0,0,0,,,40.7714,-73.8968,ny
7051044946,new york city,1595,apartment,615,0,1,1,0,1,0,0,0,laundry in bldg,,40.5817,-73.9538,ny
7051053960,new york city,2100,apartment,650,1,0,1,1,1,0,0,0,laundry on site,no parking,40.7484,-73.9967,ny
7051053865,new york city,2600,apartment,995,2,2,1,1,1,0,0,0,,,40.8102,-73.9374,ny
7051052572,new york city,1995,apartment,465,0,1,1,1,1,0,0,0,,,40.8102,-73.9374,ny
7051052471,new york city,2325,apartment,943,1,1,1,1,1,0,0,0,laundry on site,,40.6702,-73.431,ny
7051049522,new york city,3795,apartment,822,2,1,1,1,1,0,0,0,,,40.7091,-74.0146,ny
7050990222,new york city,1950,apartment,500,1,1,1,1,1,0,0,1,laundry on site,off-street parking,41.0295,-73.645,ny
7051043095,new york city,1850,apartment,500,1,1,1,0,1,0,0,0,no laundry on site,street parking,40.8183,-73.9426,ny
7051042137,new york city,1350,apartment,500,0,1,0,0,1,0,0,0,laundry in bldg,street parking,40.7219,-73.8559,ny
7051039268,new york city,7095,apartment,1000,2,2,0,0,1,0,0,0,w/d in unit,,40.7908,-73.9764,ny
7051033330,new york city,1700,apartment,400,2,1,0,0,0,0,0,1,,,40.7321,-74.066,ny
7051032766,new york city,3500,apartment,1750,4,2,0,0,1,0,0,0,laundry on site,off-street parking,41.0777,-73.7747,ny
7051032526,new york city,1000,apartment,410,1,1,0,0,1,0,0,0,,,40.7259,-73.8598,ny
7051024963,new york city,1449,apartment,529,0,1,0,1,0,0,0,0,laundry in bldg,detached garage,41.0888,-73.5435,ny
7051018258,new york city,3000,condo,1077,2,2,1,1,1,0,0,0,w/d in unit,off-street parking,41.0254,-73.7637,ny
7051013527,new york city,2800,apartment,900,2,1,1,1,1,0,0,0,,,40.7694,-73.9228,ny
7051006587,new york city,3500,apartment,915,0,1,1,1,0,0,0,0,laundry in bldg,no parking,40.7006,-73.918,ny
7051004103,new york city,1600,apartment,400,1,1,0,0,0,0,0,1,,,40.7321,-74.066,ny
7051002152,new york city,1700,apartment,350,0,1,1,0,1,0,0,0,,street parking,40.6794,-73.9496,ny
7051002002,new york city,5300,apartment,990,1,1.5,0,0,1,0,0,0,,attached garage,40.7651,-73.9638,ny
7050992306,new york city,1700,apartment,750,1,1,1,0,0,0,0,0,laundry in bldg,off-street parking,41.1595,-73.8638,ny
7050990553,new york city,2850,apartment,710,1,1,1,1,0,1,0,0,,,40.7685,-73.9588,ny
7050987881,new york city,4300,apartment,20,2,1,1,1,1,0,0,0,laundry in bldg,,40.7148,-73.959,ny
7050987140,new york city,1850,apartment,20,1,1,1,0,1,0,0,0,,,40.6967,-73.9005,ny
7050986770,new york city,2195,apartment,704,1,1,1,1,1,0,0,0,laundry on site,,40.6702,-73.431,ny
7050984952,new york city,3700,apartment,495,1,1,1,1,1,0,0,0,,,40.7344,-74.0001,ny
7050980921,new york city,2950,apartment,685,1,1,1,1,1,0,0,0,laundry in bldg,,40.763,-73.9769,ny
7050978735,new york city,2285,apartment,600,1,1,0,0,1,0,0,0,laundry in bldg,,40.7706,-73.9265,ny
7050958609,new york city,2750,apartment,1000,2,1,1,1,0,1,0,1,laundry in bldg,valet parking,40.7227,-73.8484,ny
7050973714,new york city,2200,apartment,900,1,1,1,1,1,0,0,0,,,40.6557,-74.0004,ny
7050967979,new york city,2995,apartment,500,0,1,1,1,1,0,0,0,laundry in bldg,,40.7364,-73.9849,ny
7050967798,new york city,4500,apartment,993,2,0,1,1,1,0,0,0,,,40.7626,-73.977,ny
7050966642,new york city,1950,apartment,875,2,1,0,0,1,0,0,0,laundry in bldg,detached garage,41.0602,-73.5445,ny
7050966475,new york city,2300,apartment,1000,2,1,1,0,1,0,0,0,,,40.6322,-74.0236,ny
7050961284,new york city,2599,house,1200,3,1.5,1,1,1,0,0,0,no laundry on site,street parking,40.6766,-73.9249,ny
7050961191,new york city,1950,apartment,600,1,1,1,1,1,0,0,0,w/d hookups,street parking,40.6924,-73.9666,ny
7050960425,new york city,2350,apartment,1360,3,1,1,0,1,0,0,0,w/d in unit,,40.7051,-73.243,ny
7050954339,new york city,2000,apartment,750,1,1,1,0,1,0,0,0,,,40.6412,-74.0133,ny
7050953122,new york city,2100,apartment,900,2,1,1,1,1,0,0,0,,,40.6443,-73.998,ny
7050952281,new york city,2000,apartment,700,1,1,1,1,1,0,0,0,,,40.6238,-74.0301,ny
7050951259,new york city,1800,apartment,700,1,1,1,1,1,0,0,0,,,40.6443,-73.998,ny
7050949296,new york city,2095,apartment,900,2,1,1,0,1,0,0,0,laundry in bldg,,40.6196,-74.0392,ny
7050946702,new york city,2400,apartment,850,1,1,1,1,1,0,0,0,laundry in bldg,,40.6465,-74.0073,ny
7050945029,new york city,2500,apartment,800,2,1,0,0,1,0,0,0,,,40.6815,-73.9742,ny
7050943895,new york city,2250,apartment,990,4,1,1,1,1,0,0,0,w/d in unit,street parking,40.7271,-74.1563,ny
7050941788,new york city,2300,house,1900,3,1,0,0,0,0,0,0,w/d in unit,off-street parking,41.2564,-73.2111,ny
7050940269,new york city,2500,apartment,1050,2,1.5,0,0,0,0,0,0,laundry in bldg,street parking,40.7229,-73.8473,ny
7050939991,new york city,1800,apartment,750,1,1,0,0,0,0,0,0,laundry in bldg,street parking,40.7749,-73.9807,ny
7050938894,new york city,1600,condo,715,1,1.5,0,0,0,0,0,1,laundry in bldg,off-street parking,26.3462,-80.0844,ny
7050937860,new york city,1350,apartment,896,1,1,0,0,0,0,0,0,,,40.7119,-73.7944,ny
7050927336,new york city,2400,apartment,1100,2,2,1,1,0,0,0,0,w/d in unit,attached garage,41.0636,-73.5486,ny
7050909200,new york city,2300,apartment,900,3,1.5,0,0,1,0,0,0,,off-street parking,40.6282,-74.1045,ny
7050906355,new york city,3495,apartment,720,1,1,1,1,1,0,0,0,laundry in bldg,,40.7517,-73.9694,ny
7050899217,new york city,3295,apartment,1500,3,2,1,1,1,0,0,0,,,40.7355,-73.8786,ny
7050898703,new york city,5095,loft,1100,1,1,1,1,1,0,0,0,laundry in bldg,,40.7388,-74.0081,ny
7050897755,new york city,2300,apartment,1700,3,1,0,0,1,0,0,0,w/d hookups,attached garage,40.5922,-74.1878,ny
7050897363,new york city,3200,apartment,700,0,1,0,0,0,0,0,1,laundry in bldg,attached garage,40.7701,-73.9914,ny
